"entity"	"membership"
"acetaminophen/pharmacology"	1
"brain neoplasms/genetics"	1
"cation transport proteins/genetics"	1
"CD44"	1
"colorectal neoplasms/metabolism"	1
"gene expression regulation neoplastic"	1
"glioblastoma/genetics"	1
"heat-shock proteins/genetics"	1
"HSPB1"	1
"hyaluronan receptors/genetics"	1
"hyperlipidemias"	1
"lipoproteins ldl"	1
"mannose receptor"	1
"nitric oxide synthase type ii/metabolism"	1
"PROM1"	1
"scavenger receptors class e/genetics"	1
"SLC40A1"	1
"t-lymphocytes cytotoxic/immunology"	1
"ACSL3"	2
"b-lymphocytes/metabolism"	2
"BBS9"	2
"BDKRB2"	2
"cell survival"	2
"coenzyme a ligases/metabolism"	2
"cytoskeletal proteins/metabolism"	2
"ferritins/blood"	2
"genetic variation"	2
"glutathione peroxidase/therapeutic use"	2
"glutathione/metabolism"	2
"GPX4"	2
"hemeproteins/toxicity"	2
"host-pathogen interactions"	2
"iron chelating agents/pharmacology"	2
"iron/metabolism"	2
"listeriosis/etiology"	2
"liver x receptors/agonists"	2
"lymph/metabolism"	2
"malaria/genetics"	2
"melanoma/blood"	2
"MS4A1"	2
"neoplasm metastasis/drug therapy"	2
"oleic acid/metabolism"	2
"phospholipid hydroperoxide glutathione peroxidase/metabolism"	2
"PLEKHM1"	2
"SPANXB1"	2
"TF"	2
"transferrin/metabolism"	2
"tuberculosis/metabolism"	2
"tumor suppressor protein p53/genetics"	2
"ACSL4"	3
"AIFM2"	3
"antineoplastic agents/pharmacology"	3
"ASAH2"	3
"asparaginase"	3
"ASPG"	3
"ATG5"	3
"ATL1"	3
"autophagy-related proteins/genetics"	3
"autophagy/drug effects"	3
"CCK"	3
"cd8-positive t-lymphocytes/drug effects"	3
"cell cycle/drug effects"	3
"cisplatin"	3
"colonic neoplasms/drug therapy"	3
"diterpenes/pharmacology"	3
"endoplasmic reticulum/drug effects"	3
"flavonolignans/pharmacology"	3
"glutathione peroxidase/metabolism"	3
"heme oxygenase-1/metabolism"	3
"HMOX1"	3
"killer cells natural/metabolism"	3
"lymphocytes tumor-infiltrating/immunology"	3
"lymphoma t-cell"	3
"membrane proteins/metabolism"	3
"myeloid-derived suppressor cells/immunology"	3
"neutral ceramidase/antagonists &amp; inhibitors"	3
"NLRP1"	3
"precursor cell lymphoblastic leukemia-lymphoma/metabolism"	3
"reactive oxygen species/metabolism"	3
"S100A4"	3
"t-lymphocytes/immunology"	3
"TP53"	3
"tumor suppressor protein p53/metabolism"	3
"XK"	3
"actins/metabolism"	4
"amino acid transport system y+/genetics"	4
"amino acid transport system y+/metabolism"	4
"antineoplastic agents immunological/administration &amp; dosage"	4
"ATM"	4
"cd8-positive t-lymphocytes/immunology"	4
"CD8A"	4
"cell line"	4
"collagen type i/metabolism"	4
"cysteine/metabolism"	4
"FN1"	4
"fusion regulatory protein 1 heavy chain/metabolism"	4
"FUT1"	4
"gene expression regulation neoplastic/drug effects"	4
"hepatic stellate cells/drug effects"	4
"hepatocytes/drug effects"	4
"HIF1A"	4
"hypoxia-inducible factor 1 alpha subunit/metabolism"	4
"interferon-gamma/immunology"	4
"lipid metabolism/drug effects"	4
"liver cirrhosis/drug therapy"	4
"macrophages/drug effects"	4
"melanoma/genetics"	4
"MMRN1"	4
"nivolumab/therapeutic use"	4
"ROS1"	4
"SLC3A2"	4
"SLC7A11"	4
"SLC9A1"	4
"sorafenib/pharmacology"	4
"sulfasalazine/administration &amp; dosage"	4
"adaptor proteins vesicular transport/genetics"	5
"CD36"	5
"cd36 antigens/metabolism"	5
"cyclohexylamines/pharmacology"	5
"endometrial neoplasms/immunology"	5
"heme/metabolism"	5
"IFNA1"	5
"inflammation/drug therapy"	5
"interferon type i/metabolism"	5
"myocardial reperfusion injury/drug therapy"	5
"myocardium/immunology"	5
"neutrophil infiltration"	5
"neutrophils/immunology"	5
"phagocytosis"	5
"phenylenediamines/pharmacology"	5
"TICAM1"	5
"TLR4"	5
"toll-like receptor 4/genetics"	5
"TRIM69"	5
"ventricular function left/drug effects"	5
"adjuvants immunologic/chemistry"	6
"anti-inflammatory agents/pharmacology"	6
"antineoplastic agents/chemistry"	6
"apoptosis/drug effects"	6
"biological products/chemistry"	6
"bone marrow/drug effects"	6
"calgranulin a/metabolism"	6
"CHRM1"	6
"colon/metabolism"	6
"dextrans/chemistry"	6
"dichloroacetic acid/chemistry"	6
"drug interactions"	6
"drug synergism"	6
"energy metabolism/drug effects"	6
"gels/chemistry"	6
"glycyrrhizic acid/pharmacology"	6
"gold/chemistry"	6
"ileum/drug effects"	6
"IRF6"	6
"macrophages/cytology"	6
"MRLN"	6
"necroptosis/drug effects"	6
"neoplasms/drug therapy"	6
"phenotype"	6
"protein kinase inhibitors/chemistry"	6
"pyruvate dehydrogenase acetyl-transferring kinase/antagonists &amp; inhibitors"	6
"radiation-protective agents/pharmacology"	6
"saponins/chemistry"	6
"small molecule libraries/pharmacology"	6
"urinary bladder neoplasms/pathology"	6
"amp-activated protein kinase kinases"	7
"BTRC"	7
"cell survival/drug effects"	7
"CTLA4"	7
"GABPA"	7
"glycogen synthase kinase 3/metabolism"	7
"GSK3B"	7
"iron/chemistry"	7
"lung neoplasms/drug therapy"	7
"mitochondria/drug effects"	7
"MTOR"	7
"nf-e2-related factor 2/genetics"	7
"NFE2L2"	7
"oxidative stress/drug effects"	7
"PRKAA1"	7
"PRKAA2"	7
"PRKAB1"	7
"tor serine-threonine kinases/metabolism"	7
"aniline compounds/chemistry"	8
"antibodies monoclonal humanized/pharmacology"	8
"ascorbic acid/pharmacology"	8
"b7-h1 antigen/metabolism"	8
"benzylidene compounds/chemistry"	8
"CALR"	8
"calreticulin/metabolism"	8
"cancer-associated fibroblasts/pathology"	8
"cd36 antigens/antagonists &amp; inhibitors"	8
"cd8-positive t-lymphocytes/cytology"	8
"CYREN"	8
"cytokines/metabolism"	8
"exosomes/metabolism"	8
"FAM126A"	8
"FAP"	8
"fatty acids/metabolism"	8
"ferric compounds/chemistry"	8
"immunogenic cell death/drug effects"	8
"interferon-gamma/metabolism"	8
"metabolic reprogramming"	8
"metal-organic frameworks/chemistry"	8
"multiple myeloma/drug therapy"	8
"neoplasms/diagnostic imaging"	8
"PDCD1"	8
"phenol/chemistry"	8
"programmed cell death 1 receptor/metabolism"	8
"RPL17"	8
"RPL17-C18orf32"	8
"t-lymphocytes cytotoxic/metabolism"	8
"VIM"	8
"aniline compounds/pharmacology"	9
