kw1	kw2	pg	crit_p	edge_weight	inv_edge_weight	R1C1	iteration
acetaminophen/pharmacology	brain neoplasms/genetics	9.99124116773942e-11	1.8013837779465e-09	0.037037037037037	0.494266872423146	1	0
acetaminophen/pharmacology	cation transport proteins/genetics	9.99124116773942e-11	1.8013837779465e-09	0.037037037037037	0.494266872423146	1	0
acetaminophen/pharmacology	CD44	9.99124116773942e-11	1.8013837779465e-09	0.037037037037037	0.494266872423146	1	0
acetaminophen/pharmacology	gene expression regulation neoplastic	6.18703528890707e-05	0.0002136062963574	0.074074074074074	0.494266872423146	1	0
acetaminophen/pharmacology	glioblastoma/genetics	9.99124116773942e-11	1.8013837779465e-09	0.037037037037037	0.494266872423146	1	0
acetaminophen/pharmacology	heat-shock proteins/genetics	9.99124116773942e-11	1.8013837779465e-09	0.037037037037037	0.494266872423146	1	0
acetaminophen/pharmacology	HSPB1	9.99124116773942e-11	1.8013837779465e-09	0.037037037037037	0.494266872423146	1	0
acetaminophen/pharmacology	hyaluronan receptors/genetics	9.99124116773942e-11	1.8013837779465e-09	0.037037037037037	0.494266872423146	1	0
acetaminophen/pharmacology	SLC40A1	9.99124116773942e-11	1.8013837779465e-09	0.037037037037037	0.494266872423146	1	0
acetaminophen/pharmacology	t-lymphocytes cytotoxic/immunology	9.99124116773942e-11	1.8013837779465e-09	0.037037037037037	0.494266872423146	1	0
ACSL3	cell survival	3.22580329115141e-09	2.68890589406251e-08	0.037037037037037	0.494266872423146	1	0
ACSL3	coenzyme a ligases/metabolism	3.22580329115141e-09	2.68890589406251e-08	0.037037037037037	0.494266872423146	1	0
ACSL3	glutathione/metabolism	0.0004442864189255	0.0011883441139174	0.111111111111111	0.494266872423146	1	0
ACSL3	lymph/metabolism	3.22580329115141e-09	2.68890589406251e-08	0.037037037037037	0.494266872423146	1	0
ACSL3	melanoma/blood	3.22580329115141e-09	2.68890589406251e-08	0.037037037037037	0.494266872423146	1	0
ACSL3	neoplasm metastasis/drug therapy	3.22580329115141e-09	2.68890589406251e-08	0.037037037037037	0.494266872423146	1	0
ACSL3	oleic acid/metabolism	3.22580329115141e-09	2.68890589406251e-08	0.037037037037037	0.494266872423146	1	0
ACSL3	oxidative stress/drug effects	0.0009448455612869	0.0023253327564938	0.074074074074074	0.494266872423146	1	0
