KW	category	node_weight	occurrence
spleen/pathology	MESH	0.037037037037037035	1
piperazines/pharmacology	MESH	0.07407407407407407	2
liver/pathology	MESH	0.037037037037037035	1
iron/blood	MESH	0.037037037037037035	1
kidney	MESH	0.037037037037037035	1
malondialdehyde/blood	MESH	0.037037037037037035	1
glutathione	MESH	0.037037037037037035	1
phospholipid hydroperoxide glutathione peroxidase	MESH	0.037037037037037035	1
cystine/antagonists & inhibitors	MESH	0.037037037037037035	1
methotrexate/pharmacology	MESH	0.037037037037037035	1
vitamin e/pharmacology	MESH	0.037037037037037035	1
antioxidants/pharmacology	MESH	0.037037037037037035	1
biopterin/analogs & derivatives	MESH	0.037037037037037035	1
phospholipid hydroperoxide glutathione peroxidase/antagonists & inhibitors	MESH	0.037037037037037035	1
cell proliferation/drug effects	MESH	0.037037037037037035	1
tetrahydrofolate dehydrogenase/genetics	MESH	0.037037037037037035	1
folic acid antagonists/pharmacology	MESH	0.037037037037037035	1
oxidative stress	MESH	0.07407407407407407	2
dose-response relationship drug	MESH	0.07407407407407407	2
gene expression regulation neoplastic	MESH	0.07407407407407407	2
carbolines/pharmacology	MESH	0.07407407407407407	2
jurkat cells	MESH	0.07407407407407407	2
pyruvate dehydrogenase acetyl-transferring kinase/antagonists & inhibitors	MESH	0.037037037037037035	1
dichloroacetic acid/chemistry	MESH	0.037037037037037035	1
apoptosis/drug effects	MESH	0.07407407407407407	2
macrophages/cytology	MESH	0.07407407407407407	2
energy metabolism/drug effects	MESH	0.037037037037037035	1
neoplasms/drug therapy	MESH	0.07407407407407407	2
antineoplastic agents/chemistry	MESH	0.037037037037037035	1
mitochondria/drug effects	MESH	0.07407407407407407	2
saponins/chemistry	MESH	0.037037037037037035	1
drug synergism	MESH	0.037037037037037035	1
protein kinase inhibitors/chemistry	MESH	0.037037037037037035	1
biological products/chemistry	MESH	0.037037037037037035	1
drug interactions	MESH	0.037037037037037035	1
cytokines/metabolism	MESH	0.07407407407407407	2
small molecule libraries/pharmacology	MESH	0.037037037037037035	1
necroptosis/drug effects	MESH	0.037037037037037035	1
ileum/drug effects	MESH	0.037037037037037035	1
radiation-protective agents/pharmacology	MESH	0.037037037037037035	1
bone marrow/drug effects	MESH	0.037037037037037035	1
endoplasmic reticulum/drug effects	MESH	0.037037037037037035	1
autophagy/drug effects	MESH	0.07407407407407407	2
cd8-positive t-lymphocytes/drug effects	MESH	0.037037037037037035	1
