kw1	kw2	pg	crit_p	edge_weight	inv_edge_weight	R1C1	iteration
HIF1A	FN1	2.45797683440241e-06	1.03328421674188e-05	0.037037037037037	0.494266872423146	1	0
HIF1A	MMRN1	2.45797683440241e-06	1.03328421674188e-05	0.037037037037037	0.494266872423146	1	0
HIF1A	SLC7A11	0.0018148792436817	0.0037239984480906	0.1111111111111111	0.5218822461343058	1	1
SLC7A11	FN1	0.0018148792436817	0.0037239984480906	0.1111111111111111	0.5218822461343058	1	1
SLC7A11	MMRN1	0.0018148792436817	0.0037239984480906	0.1111111111111111	0.5218822461343058	1	1
SLC7A11	ATM	0.0004477680468704	0.0010678439793956	0.1111111111111111	0.5218822461343058	1	1
SLC7A11	SLC9A1	0.0003039500006819	0.0008455020590398	0.017094017094017	0.181351810834537	2	0
SLC7A11	SLC3A2	0.0012139370747854	0.0025982636865675	0.1111111111111111	0.5218822461343058	1	1
CD36	PDCD1	0.0004477680468704	0.0010678439793956	0.0833333333333333	0.5218822461343058	1	1
CD36	CD8A	0.004255203908559	0.0081320199500543	0.1388888888888888	0.5218822461343058	1	1
FN1	MMRN1	2.45797683440241e-06	1.03328421674188e-05	0.037037037037037	0.494266872423146	1	0
SLC3A2	SLC9A1	0.000241475428057	0.0006850246991735	0.074074074074074	0.494266872423146	1	0
ACSL4	AIFM2	3.2258032911514103e-09	2.68890589406251e-08	0.037037037037037	0.494266872423146	1	0
ACSL4	ATL1	3.2258032911514103e-09	2.68890589406251e-08	0.037037037037037	0.494266872423146	1	0
ACSL4	S100A4	3.2258032911514103e-09	2.68890589406251e-08	0.037037037037037	0.494266872423146	1	0
ACSL4	CD8A	0.004255203908559	0.0081320199500543	0.1388888888888888	0.5218822461343058	1	1
PDCD1	CD274	0.0022452947287916	0.0044338840023155	0.0140056022408963	0.2038352046078773	2	1
ATM	SLC9A1	6.92732447635791e-05	0.0002354903320594	0.074074074074074	0.494266872423146	1	0
ATM	CD8A	0.004255203908559	0.0081320199500543	0.1388888888888888	0.5218822461343058	1	1
SLC9A1	CD8A	0.0042729217176281	0.0083202331685655	0.0284900284900284	0.181351810834537	2	0
CD8A	AIFM2	0.004255203908559	0.0081320199500543	0.1388888888888888	0.5218822461343058	1	1
CD8A	ATL1	0.004255203908559	0.0081320199500543	0.1388888888888888	0.5218822461343058	1	1
CD8A	S100A4	0.004255203908559	0.0081320199500543	0.1388888888888888	0.5218822461343058	1	1
ATL1	AIFM2	3.2258032911514103e-09	2.68890589406251e-08	0.037037037037037	0.494266872423146	1	0
ATL1	S100A4	3.2258032911514103e-09	2.68890589406251e-08	0.037037037037037	0.494266872423146	1	0
S100A4	AIFM2	3.2258032911514103e-09	2.68890589406251e-08	0.037037037037037	0.494266872423146	1	0
