kw1	kw2	pg	crit_p	edge_weight	inv_edge_weight	R1C1	iteration
STAT3	GGT1	3.68400332462215e-09	3.06075070737443e-08	0.037037037037037	0.489592177624085	1	0
STAT3	HLF	3.68400332462215e-09	3.06075070737443e-08	0.037037037037037	0.489592177624085	1	0
STAT3	IL6	3.68400332462215e-09	3.06075070737443e-08	0.037037037037037	0.489592177624085	1	0
STAT3	JAK2	3.68400332462215e-09	3.06075070737443e-08	0.037037037037037	0.489592177624085	1	0
STAT3	TGFB1	3.68400332462215e-09	3.06075070737443e-08	0.037037037037037	0.489592177624085	1	0
JAK2	TGFB1	3.68400332462215e-09	3.06075070737443e-08	0.037037037037037	0.489592177624085	1	0
JAK2	GGT1	3.68400332462215e-09	3.06075070737443e-08	0.037037037037037	0.489592177624085	1	0
JAK2	HLF	3.68400332462215e-09	3.06075070737443e-08	0.037037037037037	0.489592177624085	1	0
JAK2	IL6	3.68400332462215e-09	3.06075070737443e-08	0.037037037037037	0.489592177624085	1	0
IL6	TGFB1	3.68400332462215e-09	3.06075070737443e-08	0.037037037037037	0.489592177624085	1	0
IL6	HLF	3.68400332462215e-09	3.06075070737443e-08	0.037037037037037	0.489592177624085	1	0
IL6	GGT1	3.68400332462215e-09	3.06075070737443e-08	0.037037037037037	0.489592177624085	1	0
TGFB1	GGT1	3.68400332462215e-09	3.06075070737443e-08	0.037037037037037	0.489592177624085	1	0
TGFB1	HLF	3.68400332462215e-09	3.06075070737443e-08	0.037037037037037	0.489592177624085	1	0
GGT1	HLF	3.68400332462215e-09	3.06075070737443e-08	0.037037037037037	0.489592177624085	1	0
