KW1	KW2	P.value	adj.P.value	FisherP.value	ztPois.cdf	Raw.CO.Occurrence	Expansion
acetaminophen/pharmacology	brain neoplasms/genetics	1.16944343098169e-10	1.89137984237438e-09	1.0	0.0	1	0
acetaminophen/pharmacology	cation transport proteins/genetics	1.16944343098169e-10	1.89137984237438e-09	1.0	0.0	1	0
acetaminophen/pharmacology	CD44	1.16944343098169e-10	1.89137984237438e-09	1.0	0.0	1	0
acetaminophen/pharmacology	gene expression regulation neoplastic	8.92105994523273e-05	0.0002975184902435	0.16666666666666666	0.8333333333333334	1	0
acetaminophen/pharmacology	glioblastoma/genetics	1.16944343098169e-10	1.89137984237438e-09	1.0	0.0	1	0
acetaminophen/pharmacology	heat-shock proteins/genetics	1.16944343098169e-10	1.89137984237438e-09	0.2	0.8	1	0
acetaminophen/pharmacology	HSPB1	1.16944343098169e-10	1.89137984237438e-09	0.5	0.5	1	0
acetaminophen/pharmacology	hyaluronan receptors/genetics	1.16944343098169e-10	1.89137984237438e-09	1.0	0.0	1	0
acetaminophen/pharmacology	SLC40A1	1.16944343098169e-10	1.89137984237438e-09	1.0	0.0	1	0
acetaminophen/pharmacology	t-lymphocytes cytotoxic/immunology	1.16944343098169e-10	1.89137984237438e-09	0.5	0.5	1	0
brain neoplasms/genetics	cation transport proteins/genetics	1.16944343098169e-10	1.89137984237438e-09	1.0	0.0	1	0
brain neoplasms/genetics	CD44	1.16944343098169e-10	1.89137984237438e-09	1.0	0.0	1	0
brain neoplasms/genetics	gene expression regulation neoplastic	8.92105994523273e-05	0.0002975184902435	0.16666666666666666	0.8333333333333334	1	0
brain neoplasms/genetics	glioblastoma/genetics	1.16944343098169e-10	1.89137984237438e-09	1.0	0.0	1	0
brain neoplasms/genetics	heat-shock proteins/genetics	1.16944343098169e-10	1.89137984237438e-09	0.2	0.8	1	0
brain neoplasms/genetics	HSPB1	1.16944343098169e-10	1.89137984237438e-09	0.5	0.5	1	0
brain neoplasms/genetics	hyaluronan receptors/genetics	1.16944343098169e-10	1.89137984237438e-09	1.0	0.0	1	0
brain neoplasms/genetics	SLC40A1	1.16944343098169e-10	1.89137984237438e-09	1.0	0.0	1	0
brain neoplasms/genetics	t-lymphocytes cytotoxic/immunology	1.16944343098169e-10	1.89137984237438e-09	0.5	0.5	1	0
cation transport proteins/genetics	CD44	1.16944343098169e-10	1.89137984237438e-09	1.0	0.0	1	0
cation transport proteins/genetics	gene expression regulation neoplastic	8.92105994523273e-05	0.0002975184902435	0.16666666666666666	0.8333333333333334	1	0
cation transport proteins/genetics	glioblastoma/genetics	1.16944343098169e-10	1.89137984237438e-09	1.0	0.0	1	0
cation transport proteins/genetics	heat-shock proteins/genetics	1.16944343098169e-10	1.89137984237438e-09	0.2	0.8	1	0
cation transport proteins/genetics	HSPB1	1.16944343098169e-10	1.89137984237438e-09	0.5	0.5	1	0
cation transport proteins/genetics	hyaluronan receptors/genetics	1.16944343098169e-10	1.89137984237438e-09	1.0	0.0	1	0
cation transport proteins/genetics	SLC40A1	1.16944343098169e-10	1.89137984237438e-09	1.0	0.0	1	0
cation transport proteins/genetics	t-lymphocytes cytotoxic/immunology	1.16944343098169e-10	1.89137984237438e-09	0.5	0.5	1	0
CD44	gene expression regulation neoplastic	8.92105994523273e-05	0.0002975184902435	0.16666666666666666	0.8333333333333334	1	0
CD44	glioblastoma/genetics	1.16944343098169e-10	1.89137984237438e-09	1.0	0.0	1	0
CD44	heat-shock proteins/genetics	1.16944343098169e-10	1.89137984237438e-09	0.2	0.8	1	0
CD44	HSPB1	1.16944343098169e-10	1.89137984237438e-09	0.5	0.5	1	0
CD44	hyaluronan receptors/genetics	1.16944343098169e-10	1.89137984237438e-09	1.0	0.0	1	0
CD44	SLC40A1	1.16944343098169e-10	1.89137984237438e-09	1.0	0.0	1	0
CD44	t-lymphocytes cytotoxic/immunology	1.16944343098169e-10	1.89137984237438e-09	0.5	0.5	1	0
gene expression regulation neoplastic	antioxidants/pharmacology	0.0025132305533815	0.0049369209089099	0.14285714285714285	0.8571428571428572	1	0
gene expression regulation neoplastic	biopterin/analogs & derivatives	0.0025132305533815	0.0049369209089099	0.16666666666666666	0.8333333333333334	1	0
gene expression regulation neoplastic	cell proliferation/drug effects	0.0025132305533815	0.0049369209089099	0.05405405405405406	0.9459459459459459	1	0
gene expression regulation neoplastic	cystine/antagonists & inhibitors	0.0025132305533815	0.0049369209089099	0.16666666666666666	0.8333333333333334	1	0
gene expression regulation neoplastic	folic acid antagonists/pharmacology	0.0025132305533815	0.0049369209089099	0.16666666666666666	0.8333333333333334	1	0
gene expression regulation neoplastic	glioblastoma/genetics	8.92105994523273e-05	0.0002975184902435	0.16666666666666666	0.8333333333333334	1	0
gene expression regulation neoplastic	heat-shock proteins/genetics	8.92105994523273e-05	0.0002975184902435	0.1	0.9	1	0
gene expression regulation neoplastic	HSPB1	8.92105994523273e-05	0.0002975184902435	0.14285714285714285	0.8571428571428572	1	0
gene expression regulation neoplastic	hyaluronan receptors/genetics	8.92105994523273e-05	0.0002975184902435	0.16666666666666666	0.8333333333333334	1	0
gene expression regulation neoplastic	methotrexate/pharmacology	0.0025132305533815	0.0049369209089099	0.16666666666666666	0.8333333333333334	1	0
gene expression regulation neoplastic	phospholipid hydroperoxide glutathione peroxidase/antagonists & inhibitors	0.0025132305533815	0.0049369209089099	0.16666666666666666	0.8333333333333334	1	0
gene expression regulation neoplastic	SLC40A1	8.92105994523273e-05	0.0002975184902435	0.16666666666666666	0.8333333333333334	1	0
gene expression regulation neoplastic	t-lymphocytes cytotoxic/immunology	8.92105994523273e-05	0.0002975184902435	0.14285714285714285	0.8571428571428572	1	0
gene expression regulation neoplastic	tetrahydrofolate dehydrogenase/genetics	0.0025132305533815	0.0049369209089099	0.16666666666666666	0.8333333333333334	1	0
gene expression regulation neoplastic	vitamin e/pharmacology	0.0025132305533815	0.0049369209089099	0.16666666666666666	0.8333333333333334	1	0
gene expression regulation neoplastic	MTOR	3.177224326544881e-05	5.3968505948800985e-05	0.14285714285714285	0.8571428571428572	1	2
gene expression regulation neoplastic	receptors interleukin-8a/physiology	7.632479721464414e-06	1.8312359771279086e-05	0.16666666666666666	0.8333333333333334	1	1
gene expression regulation neoplastic	hypoxia/metabolism	8.539913169780533e-05	0.0001813762362583	0.16666666666666666	0.8333333333333334	1	1
gene expression regulation neoplastic	ferroptosis/drug effects	0.0001506957926944	0.0002395220806783	0.09375	0.90625	3	2
gene expression regulation neoplastic	mesenchymal stem cells/metabolism	7.632479721464414e-06	1.8312359771279086e-05	0.16666666666666666	0.8333333333333334	1	1
gene expression regulation neoplastic	carbolines/pharmacology	0.0011248326467332	0.0016367462798383	0.1111111111111111	0.8888888888888888	1	2
gene expression regulation neoplastic	hypoxia	2.958384496154487e-05	6.640650599661375e-05	0.16666666666666666	0.8333333333333334	1	1
gene expression regulation neoplastic	PTGS2	1.0111717718697125e-07	2.080342346897551e-07	0.14285714285714285	0.8571428571428572	1	2
gene expression regulation neoplastic	proto-oncogene proteins c-akt/physiology	7.632479721464414e-06	1.8312359771279086e-05	0.16666666666666666	0.8333333333333334	1	1
gene expression regulation neoplastic	disease progression	7.632479721464414e-06	1.8312359771279086e-05	0.14285714285714285	0.8571428571428572	1	1
gene expression regulation neoplastic	biomarkers	0.0043651807003741	0.0073463344263748	0.14285714285714285	0.8571428571428572	1	1
gene expression regulation neoplastic	PIK3CA	8.539913169780533e-05	0.0001813762362583	0.125	0.875	1	1
gene expression regulation neoplastic	CXCR1	0.002695906298115	0.0046542399189913	0.14285714285714285	0.8571428571428572	1	1
gene expression regulation neoplastic	cytotoxicity immunologic/drug effects	0.0002626515314125	0.00040771517724	0.1111111111111111	0.8888888888888888	1	2
gene expression regulation neoplastic	tumor suppressor protein p53/genetics	0.0002282398457463	0.000356037108362	0.1111111111111111	0.8888888888888888	1	2
gene expression regulation neoplastic	abietanes/pharmacology	3.108624468950439e-15	9.206201914783523e-15	0.16666666666666666	0.8333333333333334	1	2
gene expression regulation neoplastic	fas receptor/genetics	2.958384496154487e-05	6.640650599661375e-05	0.16666666666666666	0.8333333333333334	1	1
gene expression regulation neoplastic	epithelial-mesenchymal transition	8.539913169780533e-05	0.0001813762362583	0.16666666666666666	0.8333333333333334	1	1
gene expression regulation neoplastic	anoikis/drug effects	7.632479721464414e-06	1.8312359771279086e-05	0.16666666666666666	0.8333333333333334	1	1
gene expression regulation neoplastic	amino acid transport system y+/genetics	1.4395964420543804e-08	3.1042061511083366e-08	0.14285714285714285	0.8571428571428572	1	2
gene expression regulation neoplastic	fas ligand protein/genetics	2.958384496154487e-05	6.640650599661375e-05	0.16666666666666666	0.8333333333333334	1	1
gene expression regulation neoplastic	lung neoplasms/genetics	7.632479721464414e-06	1.8312359771279086e-05	0.16666666666666666	0.8333333333333334	1	1
gene expression regulation neoplastic	HIF1A	0.0069268861509679	0.0091336789738946	0.1	0.9	1	2
gene expression regulation neoplastic	neovascularization pathologic/immunology	2.958384496154487e-05	6.640650599661375e-05	0.16666666666666666	0.8333333333333334	1	1
gene expression regulation neoplastic	tor serine-threonine kinases/metabolism	3.177224326544881e-05	5.3968505948800985e-05	0.14285714285714285	0.8571428571428572	1	2
gene expression regulation neoplastic	neoplasms/metabolism	8.539913169780533e-05	0.0001813762362583	0.16666666666666666	0.8333333333333334	1	1
gene expression regulation neoplastic	oxidative stress	0.0012020091460356	0.0021877991589107	0.1111111111111111	0.8888888888888888	1	1
gene expression regulation neoplastic	piperazines/pharmacology	0.0015030480913559	0.0026889015836802	0.14285714285714285	0.8571428571428572	1	1
gene expression regulation neoplastic	osteosarcoma/genetics	7.632479721464414e-06	1.8312359771279086e-05	0.16666666666666666	0.8333333333333334	1	1
gene expression regulation neoplastic	interferons/metabolism	8.539913169780533e-05	0.0001813762362583	0.16666666666666666	0.8333333333333334	1	1
